method,seed,step,test_error,reward,backward_frac,loss
PG,2,1500,0.06940001249313354,0.9399999976158142,1.0,-0.033312924206256866
PG,2,1600,0.06790000200271606,0.9800000190734863,1.0,-0.0009603569051250815
PG,2,1700,0.06870001554489136,1.0,1.0,0.005884170066565275
PG,2,1800,0.062099993228912354,0.949999988079071,1.0,0.001060343231074512
PG,2,1900,0.06330001354217529,0.9599999785423279,1.0,-0.002933724783360958
PG,2,2000,0.06099998950958252,0.9599999785423279,1.0,0.005434275139123201
PG,2,2100,0.058600008487701416,0.9399999976158142,1.0,-0.007130923680961132
PG,2,2200,0.062099993228912354,0.949999988079071,1.0,-0.013666982762515545
PG,2,2300,0.056599974632263184,0.9399999976158142,1.0,-0.011159020476043224
PG,2,2400,0.05419999361038208,0.9200000166893005,1.0,-0.0015966941136866808
PG,2,2500,0.055599987506866455,0.9399999976158142,1.0,-0.015129737555980682
PG,2,2600,0.05889999866485596,0.8999999761581421,1.0,-0.06443576514720917
PG,2,2700,0.05610001087188721,0.8700000047683716,1.0,-0.07911430299282074
PG,2,2800,0.058000028133392334,0.949999988079071,1.0,-0.0015940304147079587
PG,2,2900,0.05620002746582031,0.9399999976158142,1.0,-0.03304554522037506
PG,2,3000,0.05049997568130493,0.9700000286102295,1.0,0.00020216732809785753
PG,2,3100,0.05629998445510864,0.9399999976158142,1.0,-0.0031493783462792635
PG,2,3200,0.049700021743774414,0.9800000190734863,1.0,-0.0006413316586986184
PG,2,3300,0.05239999294281006,0.8899999856948853,1.0,-0.058391496539115906
PG,2,3400,0.04890000820159912,0.949999988079071,1.0,-0.018627241253852844
PG,2,3500,0.06040000915527344,0.9700000286102295,1.0,-0.011150363832712173
PG,2,3600,0.04869997501373291,0.9700000286102295,1.0,-0.0003883825847879052
PG,2,3700,0.046999990940093994,0.9599999785423279,1.0,-0.0027733317110687494
PG,2,3800,0.04809999465942383,0.9399999976158142,1.0,-0.02950740046799183
PG,2,3900,0.05019998550415039,0.9399999976158142,1.0,-0.001776009681634605
